Unnamed: 0,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Transaction_count_log,Transaction_amount_log
0,Andaman & Nicobar,2018,1,Recharge & bill payments,4200,1845307.467365509,8.34283980427146,14.428156470550961
1,Andaman & Nicobar,2018,1,Peer-to-peer payments,1871,12138655.299749982,7.534228326274089,16.311905571377412
2,Andaman & Nicobar,2018,1,Merchant payments,298,452507.168646613,5.697093486505405,13.022558884309587
3,Andaman & Nicobar,2018,1,Financial Services,33,10601.419933464951,3.4965075614664802,9.268743227116117
4,Andaman & Nicobar,2018,1,Others,256,184689.8662902223,5.545177444479562,12.126433298901004
5,Andaman & Nicobar,2018,2,Recharge & bill payments,6735,2320944.731074479,8.815073088844464,14.657484872424355
6,Andaman & Nicobar,2018,2,Peer-to-peer payments,3575,24511925.231047668,8.181720455128108,17.014670301217855
7,Andaman & Nicobar,2018,2,Merchant payments,603,1024491.0133579008,6.401917196727186,13.839706474888018
8,Andaman & Nicobar,2018,2,Financial Services,59,121336.0270987509,4.07753744390572,11.706319059067653
9,Andaman & Nicobar,2018,2,Others,368,359838.50537474576,5.908082938168931,12.793410613601662
10,Andaman & Nicobar,2018,3,Recharge & bill payments,8636,4343504.868377829,9.063694791634697,15.284192153523623
11,Andaman & Nicobar,2018,3,Peer-to-peer payments,6448,49270781.54163504,8.771525284186465,17.71284179681843
12,Andaman & Nicobar,2018,3,Merchant payments,945,1627359.8394868043,6.851184927493743,14.302469529225315
13,Andaman & Nicobar,2018,3,Financial Services,42,1481.4907042806483,3.7376696182833684,7.300804092461804
14,Andaman & Nicobar,2018,3,Others,194,314343.39410715323,5.267858159063328,12.658241279138844
15,Andaman & Nicobar,2018,4,Recharge & bill payments,11517,5450549.512294375,9.351579483668907,15.511226989500553
16,Andaman & Nicobar,2018,4,Peer-to-peer payments,10451,81001456.97825177,9.254452946594503,18.209977699860765
17,Andaman & Nicobar,2018,4,Merchant payments,1421,3552027.735492656,7.259116128097101,15.083029191479438
18,Andaman & Nicobar,2018,4,Financial Services,29,76035.7877393286,3.367295829986474,11.238959399740905
19,Andaman & Nicobar,2018,4,Others,340,468266.0606770435,5.8289456176102075,13.056791919081807
20,Andaman & Nicobar,2019,1,Recharge & bill payments,15263,6611459.872972583,9.633186877915122,15.704315045683213
21,Andaman & Nicobar,2019,1,Peer-to-peer payments,13119,91808345.86839552,9.48181684008103,18.335213765057407
22,Andaman & Nicobar,2019,1,Merchant payments,1759,3266589.8469614363,7.472500744737558,14.999257138459885
23,Andaman & Nicobar,2019,1,Financial Services,62,116250.436718611,4.127134385045092,11.66350208016178
24,Andaman & Nicobar,2019,1,Others,283,497094.6484417205,5.645446897643238,13.116535726468026
25,Andaman & Nicobar,2019,2,Recharge & bill payments,14676,7242448.256212333,9.593968785475173,15.795469864135134
26,Andaman & Nicobar,2019,2,Peer-to-peer payments,14481,107525358.66652842,9.580592724328602,18.4932372722856
27,Andaman & Nicobar,2019,2,Merchant payments,4031,4702152.616619372,8.301769763117166,15.363530965364717
28,Andaman & Nicobar,2019,2,Financial Services,124,113278.91371326068,4.820281565605037,11.637608319485917
29,Andaman & Nicobar,2019,2,Others,377,671471.222589792,5.932245187448011,13.417226438613547
30,Andaman & Nicobar,2019,3,Recharge & bill payments,16219,8171737.705916681,9.69393867348769,15.916192137722783
31,Andaman & Nicobar,2019,3,Peer-to-peer payments,13767,101079821.10344616,9.530029703062944,18.431421070631554
32,Andaman & Nicobar,2019,3,Merchant payments,3519,4428734.574846684,8.165932137321585,15.30362445219706
33,Andaman & Nicobar,2019,3,Financial Services,50,158857.94315586874,3.912023005428146,11.975765642576354
34,Andaman & Nicobar,2019,3,Others,215,232624.75992853564,5.3706380281276624,12.357181961933426
35,Andaman & Nicobar,2019,4,Peer-to-peer payments,18128,121493224.30754513,9.805212983267788,18.61536905217375
36,Andaman & Nicobar,2019,4,Recharge & bill payments,13851,9538690.916424634,9.536112711175099,16.070866813508314
37,Andaman & Nicobar,2019,4,Merchant payments,2920,5247500.487902376,7.979338895262328,15.473262423654981
38,Andaman & Nicobar,2019,4,Financial Services,60,295937.2110898865,4.0943445622221,12.597902586108242
39,Andaman & Nicobar,2019,4,Others,200,263177.5944158883,5.298317366548036,12.480584347210531
40,Andaman & Nicobar,2020,1,Peer-to-peer payments,18324,142332401.79234773,9.815966955006633,18.77367573771893
41,Andaman & Nicobar,2020,1,Recharge & bill payments,18268,10850414.023977457,9.81290617430489,16.199713796114644
42,Andaman & Nicobar,2020,1,Merchant payments,4424,7752871.558217709,8.39479954320217,15.863573856343592
43,Andaman & Nicobar,2020,1,Financial Services,66,208231.7307165264,4.189654742026425,12.246406828529059
44,Andaman & Nicobar,2020,1,Others,216,332393.19201521645,5.375278407684165,12.71407386045169
45,Andaman & Nicobar,2020,2,Recharge & bill payments,38125,17659622.73418829,10.548625513909712,16.686791390181906
46,Andaman & Nicobar,2020,2,Peer-to-peer payments,20303,141728757.73517442,9.918523937362242,18.76942563209497
47,Andaman & Nicobar,2020,2,Merchant payments,4004,9236375.740471344,8.295049140435111,16.038660130793527
48,Andaman & Nicobar,2020,2,Financial Services,175,706932.1397115812,5.1647859739235145,13.468689956837183
49,Andaman & Nicobar,2020,2,Others,355,313313.0646014327,5.872117789475416,12.654958176043518
50,Andaman & Nicobar,2020,3,Recharge & bill payments,59310,24756220.875469357,10.990533204832772,17.024587363900043
51,Andaman & Nicobar,2020,3,Peer-to-peer payments,40697,289078946.7312394,10.613909658640255,19.482210380852422
52,Andaman & Nicobar,2020,3,Merchant payments,16096,22682992.238478824,9.686326072899465,16.937125961034972
