Unnamed: 0,State,Year,Quarter,brands,Count,Percentage,Count_log,Percentage_log
0,Andaman & Nicobar,2018,1,Xiaomi,1665,0.2470326409495549,7.417580402414544,-1.3982348014918085
1,Andaman & Nicobar,2018,1,Samsung,1445,0.2143916913946587,7.275864600546533,-1.5399506033598205
2,Andaman & Nicobar,2018,1,Vivo,982,0.1456973293768546,6.889591308354466,-1.9262238955518869
3,Andaman & Nicobar,2018,1,Oppo,501,0.0743323442136498,6.2166061010848646,-2.5992091028214888
4,Andaman & Nicobar,2018,1,OnePlus,332,0.0492581602373887,5.805134968916488,-3.0106802349898647
5,Andaman & Nicobar,2018,1,Realme,316,0.0468842729970326,5.755742213586912,-3.0600729903194415
6,Andaman & Nicobar,2018,1,Apple,229,0.0339762611275964,5.43372200355424,-3.3820932003521142
7,Andaman & Nicobar,2018,1,Motorola,226,0.0335311572700296,5.420534999272286,-3.395280204634069
8,Andaman & Nicobar,2018,1,Lenovo,202,0.0299703264094955,5.308267697401205,-3.5075475065051496
9,Andaman & Nicobar,2018,1,Huawei,158,0.0234421364985163,5.062595033026967,-3.753220170879387
10,Andaman & Nicobar,2018,1,Others,684,0.1014836795252225,6.52795791762255,-2.2878572862838027
11,Andaman & Nicobar,2018,2,Xiaomi,2303,0.244869750132908,7.741967899820685,-1.4070288419144457
12,Andaman & Nicobar,2018,2,Samsung,1923,0.2044657097288676,7.56164174558878,-1.5873549961463511
13,Andaman & Nicobar,2018,2,Vivo,1523,0.1619351408825093,7.328437352895162,-1.820559388839969
14,Andaman & Nicobar,2018,2,Oppo,708,0.0752791068580542,6.56244409369372,-2.5865526480414114
15,Andaman & Nicobar,2018,2,OnePlus,466,0.0495481127060074,6.144185634125646,-3.004811107609486
16,Andaman & Nicobar,2018,2,Realme,465,0.0494417862838915,6.142037405587356,-3.0069593361477756
17,Andaman & Nicobar,2018,2,Motorola,319,0.0339181286549707,5.765191102784844,-3.383805638950288
18,Andaman & Nicobar,2018,2,Apple,308,0.0327485380116959,5.730099782973574,-3.4188969587615565
19,Andaman & Nicobar,2018,2,Lenovo,244,0.0259436469962785,5.497168225293202,-3.651828516441932
20,Andaman & Nicobar,2018,2,Huawei,230,0.024455077086656,5.438079308923196,-3.7109174328119368
21,Andaman & Nicobar,2018,2,Others,916,0.0973950026581605,6.82001636467413,-2.328980377061001
22,Andaman & Nicobar,2018,3,Xiaomi,2950,0.2428183389579389,7.989560449333865,-1.4154416915208767
23,Andaman & Nicobar,2018,3,Samsung,2409,0.1982879249320931,7.786967002614872,-1.6180351382398712
24,Andaman & Nicobar,2018,3,Vivo,2063,0.1698082146678739,7.631916513071252,-1.7730856277834903
