State,Year,Quarter,District,Count,Amount,Count_log,Amount_log
Andaman & Nicobar,2018,1,north and middle andaman district,442,931663.0770939871,6.091309882077698,13.744726523044985
Andaman & Nicobar,2018,1,south andaman district,5688,12560249.34366581,8.646113971483077,16.346047571009965
Andaman & Nicobar,2018,1,nicobars district,528,1139848.801225994,6.269096283706261,13.94640618107096
Andaman & Nicobar,2018,2,north and middle andaman district,825,1317863.0834906558,6.715383386334681,14.091522106623179
Andaman & Nicobar,2018,2,south andaman district,9395,23948235.51634325,9.147932911847565,16.991405205468048
Andaman & Nicobar,2018,2,nicobars district,1120,3072436.9081196385,7.02108396428914,14.937981585832206
Andaman & Nicobar,2018,3,north and middle andaman district,1283,4901529.518499676,7.1569563646156364,15.405057861005817
Andaman & Nicobar,2018,3,south andaman district,13511,44268112.46425246,9.51125944745996,17.605775166895178
Andaman & Nicobar,2018,3,nicobars district,1471,6387829.151558982,7.293697720601438,15.66990504274319
Andaman & Nicobar,2018,4,north and middle andaman district,2137,7955635.917688001,7.667158255319148,15.889391155929
Andaman & Nicobar,2018,4,south andaman district,20136,75411840.8018554,9.910264536815152,18.13847486046113
Andaman & Nicobar,2018,4,nicobars district,1485,7180859.354911782,7.3031700512368,15.786929621176071
Andaman & Nicobar,2019,1,north and middle andaman district,3264,9561708.736298349,8.090708716083997,16.073277007162353
Andaman & Nicobar,2019,1,south andaman district,25683,85501972.38780196,10.153584573410596,18.26405000250409
Andaman & Nicobar,2019,1,nicobars district,1539,7236059.549389593,7.338888133838879,15.794587355064012
Andaman & Nicobar,2019,2,north and middle andaman district,3371,8612103.137888122,8.12296471523406,15.968679113461576
Andaman & Nicobar,2019,2,south andaman district,28490,102530955.71341258,10.257308427491955,18.445675317907938
Andaman & Nicobar,2019,2,nicobars district,1828,9111650.82436246,7.510977752014095,16.025064462958145
Andaman & Nicobar,2019,3,north and middle andaman district,4049,11481466.283356791,8.30622521603216,16.256244665730627
Andaman & Nicobar,2019,3,south andaman district,27421,91023888.32848611,10.219064422181425,18.326632539135883
Andaman & Nicobar,2019,3,nicobars district,2300,11566421.475451011,7.7406644019172415,16.263616757936486
Andaman & Nicobar,2019,4,north and middle andaman district,4716,13524056.784573946,8.458716261657262,16.419980641601303
Andaman & Nicobar,2019,4,south andaman district,27843,110930312.20611624,10.234336867263503,18.52441274415347
Andaman & Nicobar,2019,4,nicobars district,2600,12384161.52668771,7.8632667240095735,16.33192891790227
Andaman & Nicobar,2020,1,north and middle andaman district,5674,14697371.617857102,8.643649615368796,16.50317923425575
Andaman & Nicobar,2020,1,south andaman district,32713,134679396.90582755,10.395527831398702,18.718407674268413
Andaman & Nicobar,2020,1,nicobars district,2911,12099543.773590054,7.976251943745623,16.308678305194153
Andaman & Nicobar,2020,2,north and middle andaman district,10979,22447714.061058957,9.303739636234733,16.926699343407318
Andaman & Nicobar,2020,2,south andaman district,48088,132855778.74838585,10.780787944718998,18.704774727518284
Andaman & Nicobar,2020,2,nicobars district,3895,14341508.60470232,8.267448958304849,16.478668590161785
Andaman & Nicobar,2020,3,north and middle andaman district,16747,33486883.37042556,9.725974416734479,17.326664378941707
Andaman & Nicobar,2020,3,south andaman district,95323,282366109.20523936,11.465026403650693,19.458715046485136
Andaman & Nicobar,2020,3,nicobars district,5413,22166453.754695386,8.596558746796978,16.91409061186051
Andaman & Nicobar,2020,4,north and middle andaman district,29349,68941322.38839513,10.287013753125539,18.048766300597997
Andaman & Nicobar,2020,4,south andaman district,186494,523122462.883029,12.136154345966721,20.075326149271337
Andaman & Nicobar,2020,4,nicobars district,8688,35218871.04342849,9.069698042173716,17.377092606101446
Andaman & Nicobar,2021,1,north and middle andaman district,27358,75027255.27919498,10.21676426964939,18.133362009208046
Andaman & Nicobar,2021,1,south andaman district,207092,669604045.1248703,12.240918417955772,20.32219711822773
Andaman & Nicobar,2021,1,nicobars district,10302,39075266.9856904,9.24009333012553,17.4810002668957
Andaman & Nicobar,2021,2,north and middle andaman district,39200,90233388.79463302,10.576432025778553,18.317910080559376
Andaman & Nicobar,2021,2,south andaman district,286907,760893020.5704944,12.566913400417018,20.450003328507094
Andaman & Nicobar,2021,2,nicobars district,15307,48020606.74716837,9.636065519091707,17.687140783978855
Andaman & Nicobar,2021,3,north and middle andaman district,46592,118254865.82750684,10.749184131556358,18.588352733136727
Andaman & Nicobar,2021,3,south andaman district,382418,1116789010.6459613,12.854269530181279,20.833723449886328
Andaman & Nicobar,2021,3,nicobars district,20754,74980519.3281361,9.940494278165223,18.132738895470194
Andaman & Nicobar,2021,4,north and middle andaman district,53115,156486112.28732437,10.880214653214114,18.86847782462879
Andaman & Nicobar,2021,4,south andaman district,558571,1694794708.0093334,13.233137015642514,21.250827454224982
Andaman & Nicobar,2021,4,nicobars district,24437,81329281.0269996,10.10385365616035,18.214016669909608
