State,Year,Quarter,District,RegisteredUser,AppOpens,RegisteredUser_log
Andaman & Nicobar,2018,1,north and middle andaman district,632,0,6.448889394146858
Andaman & Nicobar,2018,1,south andaman district,5846,0,8.673512945671192
Andaman & Nicobar,2018,1,nicobars district,262,0,5.568344503761097
Andaman & Nicobar,2018,2,north and middle andaman district,911,0,6.814542897259958
Andaman & Nicobar,2018,2,south andaman district,8143,0,9.004913941467132
Andaman & Nicobar,2018,2,nicobars district,351,0,5.860786223465865
Andaman & Nicobar,2018,3,north and middle andaman district,1208,0,7.0967213784947605
Andaman & Nicobar,2018,3,south andaman district,10474,0,9.256651274839433
Andaman & Nicobar,2018,3,nicobars district,467,0,6.1463292576688975
Andaman & Nicobar,2018,4,north and middle andaman district,1553,0,7.347943823148687
Andaman & Nicobar,2018,4,south andaman district,13133,0,9.48288342558516
Andaman & Nicobar,2018,4,nicobars district,536,0,6.284134161070802
Andaman & Nicobar,2019,1,north and middle andaman district,2013,0,7.607381425639791
Andaman & Nicobar,2019,1,south andaman district,15961,0,9.677903525682558
Andaman & Nicobar,2019,1,nicobars district,622,0,6.432940092739179
Andaman & Nicobar,2019,2,north and middle andaman district,2417,6118,7.790282380703483
Andaman & Nicobar,2019,2,south andaman district,18621,43569,9.832045255081763
Andaman & Nicobar,2019,2,nicobars district,693,2953,6.541029999189903
Andaman & Nicobar,2019,3,north and middle andaman district,2662,22064,7.8868329989550565
Andaman & Nicobar,2019,3,south andaman district,20518,138190,9.929057828647657
Andaman & Nicobar,2019,3,nicobars district,751,10853,6.621405651764134
Andaman & Nicobar,2019,4,north and middle andaman district,2955,26253,7.991253929840199
Andaman & Nicobar,2019,4,south andaman district,22202,139646,10.007937653892592
Andaman & Nicobar,2019,4,nicobars district,803,11113,6.688354713946762
Andaman & Nicobar,2020,1,north and middle andaman district,3315,30444,8.106212902619962
Andaman & Nicobar,2020,1,south andaman district,24174,151529,10.093032954419403
Andaman & Nicobar,2020,1,nicobars district,879,11613,6.778784897685177
Andaman & Nicobar,2020,2,north and middle andaman district,4100,56992,8.318742252692399
Andaman & Nicobar,2020,2,south andaman district,27626,231071,10.226512637259905
Andaman & Nicobar,2020,2,nicobars district,984,17009,6.891625897052253
Andaman & Nicobar,2020,3,north and middle andaman district,5355,76553,8.585785982881848
Andaman & Nicobar,2020,3,south andaman district,34833,417785,10.458320492295115
Andaman & Nicobar,2020,3,nicobars district,1147,21227,7.044905117129371
Andaman & Nicobar,2020,4,north and middle andaman district,7076,125915,8.864464055279676
Andaman & Nicobar,2020,4,south andaman district,43908,725321,10.689851814807207
Andaman & Nicobar,2020,4,nicobars district,1412,35972,7.252762418053187
Andaman & Nicobar,2021,1,north and middle andaman district,7833,121680,8.96610085736724
Andaman & Nicobar,2021,1,south andaman district,48352,837589,10.786262865072466
Andaman & Nicobar,2021,1,nicobars district,1573,45067,7.360739903058278
Andaman & Nicobar,2021,2,north and middle andaman district,8493,596182,9.04699757378001
Andaman & Nicobar,2021,2,south andaman district,51903,1270226,10.857131870951632
Andaman & Nicobar,2021,2,nicobars district,1699,381815,7.4377951216719325
Andaman & Nicobar,2021,3,north and middle andaman district,9263,759314,9.133783249254028
Andaman & Nicobar,2021,3,south andaman district,55873,1771107,10.930836537091798
Andaman & Nicobar,2021,3,nicobars district,1846,591204,7.520776415062797
Andaman & Nicobar,2021,4,north and middle andaman district,10002,171921,9.21054035197885
Andaman & Nicobar,2021,4,south andaman district,59807,1863037,10.99887798994429
Andaman & Nicobar,2021,4,nicobars district,1971,77952,7.58629630715272
Andaman & Nicobar,2022,1,north and middle andaman district,10720,904869,9.279866434624793
Andaman & Nicobar,2022,1,south andaman district,63487,2368756,11.058590439512432
Andaman & Nicobar,2022,1,nicobars district,2081,573782,7.640603826393634
Andaman & Nicobar,2022,2,north and middle andaman district,11379,963824,9.339524830357009
Andaman & Nicobar,2022,2,south andaman district,66959,3404740,11.111835770762712
Andaman & Nicobar,2022,2,nicobars district,2192,811449,7.692569648067906
Andaman & Nicobar,2022,3,north and middle andaman district,11897,1176567,9.384041546476526
Andaman & Nicobar,2022,3,south andaman district,70445,3607286,11.162587542487376
Andaman & Nicobar,2022,3,nicobars district,2300,1284501,7.7406644019172415
Andaman & Nicobar,2022,4,north and middle andaman district,12361,313502,9.422301633887823
Andaman & Nicobar,2022,4,south andaman district,73692,3881359,11.2076495241174
Andaman & Nicobar,2022,4,nicobars district,2389,159232,7.77863014732581
Andhra Pradesh,2018,1,east godavari district,350356,0,12.766705059383447
Andhra Pradesh,2018,1,srikakulam district,143839,0,11.876449897512204
Andhra Pradesh,2018,1,visakhapatnam district,497187,0,13.116721491856918
Andhra Pradesh,2018,1,prakasam district,189949,0,12.154510894058612
Andhra Pradesh,2018,1,anantapur district,241192,0,12.39334857578926
Andhra Pradesh,2018,1,kurnool district,240133,0,12.388948215497152
Andhra Pradesh,2018,1,guntur district,317065,0,12.666862079158701
Andhra Pradesh,2018,1,krishna district,323673,0,12.687489025870143
Andhra Pradesh,2018,1,spsr nellore district,194475,0,12.178058899074975
Andhra Pradesh,2018,1,vizianagaram district,128905,0,11.766830977934479
Andhra Pradesh,2018,1,ysr district,186800,0,12.13779380477688
Andhra Pradesh,2018,1,west godavari district,213335,0,12.270618979137227
Andhra Pradesh,2018,1,chittoor district,309541,0,12.642845834061777
Andhra Pradesh,2018,2,east godavari district,454398,0,13.026728744970942
Andhra Pradesh,2018,2,srikakulam district,186913,0,12.138398546937006
Andhra Pradesh,2018,2,visakhapatnam district,636052,0,13.363035599986299
Andhra Pradesh,2018,2,prakasam district,253458,0,12.442953407813476
Andhra Pradesh,2018,2,anantapur district,326383,0,12.695826817382372
Andhra Pradesh,2018,2,kurnool district,319313,0,12.67392709193609
Andhra Pradesh,2018,2,guntur district,420326,0,12.9487858796557
Andhra Pradesh,2018,2,krishna district,431965,0,12.976099845425551
Andhra Pradesh,2018,2,spsr nellore district,261049,0,12.472463408147584
Andhra Pradesh,2018,2,vizianagaram district,167327,0,12.027705260683902
Andhra Pradesh,2018,2,ysr district,248657,0,12.423829715767537
Andhra Pradesh,2018,2,west godavari district,282393,0,12.551054996758598
Andhra Pradesh,2018,2,chittoor district,414306,0,12.934360110219858
Andhra Pradesh,2018,3,east godavari district,558982,0,13.233872551261012
Andhra Pradesh,2018,3,srikakulam district,228456,0,12.339098910599251
Andhra Pradesh,2018,3,visakhapatnam district,769096,0,13.55297107814747
Andhra Pradesh,2018,3,prakasam district,314899,0,12.660007231472768
Andhra Pradesh,2018,3,anantapur district,405855,0,12.913751231936027
Andhra Pradesh,2018,3,kurnool district,394311,0,12.884895217016533
Andhra Pradesh,2018,3,guntur district,518931,0,13.159526205332782
Andhra Pradesh,2018,3,krishna district,537086,0,13.193913509644315
Andhra Pradesh,2018,3,spsr nellore district,322446,0,12.683690959337547
Andhra Pradesh,2018,3,vizianagaram district,203655,0,12.224182664702491
Andhra Pradesh,2018,3,ysr district,308391,0,12.639123737366106
Andhra Pradesh,2018,3,west godavari district,349782,0,12.765065382266645
Andhra Pradesh,2018,3,chittoor district,515727,0,13.153332834689465
Andhra Pradesh,2018,4,east godavari district,694455,0,13.450882644260846
Andhra Pradesh,2018,4,srikakulam district,284874,0,12.559802256230284
Andhra Pradesh,2018,4,visakhapatnam district,978288,0,13.793559384194271
Andhra Pradesh,2018,4,prakasam district,394962,0,12.886544836723854
Andhra Pradesh,2018,4,anantapur district,510892,0,13.14391349655468
Andhra Pradesh,2018,4,kurnool district,498582,0,13.119523348336902
Andhra Pradesh,2018,4,guntur district,659552,0,13.399316095643023
Andhra Pradesh,2018,4,krishna district,682479,0,13.4334870363371
Andhra Pradesh,2018,4,spsr nellore district,407495,0,12.917783941649128
Andhra Pradesh,2018,4,vizianagaram district,257824,0,12.460032460576922
Andhra Pradesh,2018,4,ysr district,387058,0,12.866329831583446
Andhra Pradesh,2018,4,west godavari district,435668,0,12.98463576437733
Andhra Pradesh,2018,4,chittoor district,665280,0,13.407963283651785
Andhra Pradesh,2019,1,east godavari district,839277,0,13.640296085906556
Andhra Pradesh,2019,1,srikakulam district,345775,0,12.753543553492909
Andhra Pradesh,2019,1,visakhapatnam district,1174517,0,13.976367557220714
Andhra Pradesh,2019,1,prakasam district,474260,0,13.069510973500101
Andhra Pradesh,2019,1,anantapur district,612162,0,13.324752232348395
Andhra Pradesh,2019,1,kurnool district,599422,0,13.303721136561185
Andhra Pradesh,2019,1,guntur district,802394,0,13.595355038034608
Andhra Pradesh,2019,1,krishna district,833694,0,13.633621707539413
Andhra Pradesh,2019,1,spsr nellore district,491908,0,13.106046986119367
Andhra Pradesh,2019,1,vizianagaram district,313334,0,12.655024993235388
Andhra Pradesh,2019,1,ysr district,460590,0,13.040263555321054
Andhra Pradesh,2019,1,west godavari district,523372,0,13.168047771277312
Andhra Pradesh,2019,1,chittoor district,812314,0,13.60764224390222
Andhra Pradesh,2019,2,east godavari district,945181,7156762,13.759131722527044
Andhra Pradesh,2019,2,srikakulam district,392764,3230330,12.880964201567856
Andhra Pradesh,2019,2,visakhapatnam district,1318740,13681907,14.092187293239375
Andhra Pradesh,2019,2,prakasam district,539462,4488365,13.198327625611116
Andhra Pradesh,2019,2,anantapur district,695114,6056591,13.45183113987266
Andhra Pradesh,2019,2,kurnool district,680118,6240480,13.430021591509567
Andhra Pradesh,2019,2,guntur district,915256,7268875,13.7269590865469
Andhra Pradesh,2019,2,krishna district,952300,7822632,13.766635390182138
Andhra Pradesh,2019,2,spsr nellore district,558303,4774473,13.232657104739147
Andhra Pradesh,2019,2,vizianagaram district,355058,3541678,12.780036435394138
Andhra Pradesh,2019,2,ysr district,519031,4345848,13.159718890614727
Andhra Pradesh,2019,2,west godavari district,592185,3853094,13.291574365048188
Andhra Pradesh,2019,2,chittoor district,925491,8914216,13.738079686475148
Andhra Pradesh,2019,3,east godavari district,1057167,28275322,13.871103246696144
Andhra Pradesh,2019,3,srikakulam district,437939,11813195,12.989834910253306
Andhra Pradesh,2019,3,visakhapatnam district,1460464,54836001,14.194264751413362
Andhra Pradesh,2019,3,prakasam district,598568,16267041,13.302295414902975
Andhra Pradesh,2019,3,anantapur district,773656,22845084,13.558882609332715
Andhra Pradesh,2019,3,kurnool district,755024,22827473,13.534504815805402
Andhra Pradesh,2019,3,guntur district,1026418,28477132,13.841585629152394
Andhra Pradesh,2019,3,krishna district,1066546,30077671,13.87993594770273
Andhra Pradesh,2019,3,spsr nellore district,619592,17768733,13.336816475885653
Andhra Pradesh,2019,3,vizianagaram district,394375,13065845,12.885057512277614
Andhra Pradesh,2019,3,ysr district,574109,15833900,13.260574552744224
Andhra Pradesh,2019,3,west godavari district,662102,14227407,13.403174901600114
Andhra Pradesh,2019,3,chittoor district,1032733,34638738,13.84771924421818
Andhra Pradesh,2019,4,east godavari district,1195228,38299189,13.99384752012778
Andhra Pradesh,2019,4,srikakulam district,496266,16353822,13.114867352277383
Andhra Pradesh,2019,4,visakhapatnam district,1620235,70749983,14.298081758416528
Andhra Pradesh,2019,4,prakasam district,673522,21639748,13.420275939480947
Andhra Pradesh,2019,4,anantapur district,873033,30278539,13.679728634794596
Andhra Pradesh,2019,4,kurnool district,846885,29676997,13.64932019109857
Andhra Pradesh,2019,4,guntur district,1158708,37846179,13.962816149250608
Andhra Pradesh,2019,4,krishna district,1199971,39407473,13.997807947799544
Andhra Pradesh,2019,4,spsr nellore district,697154,23608360,13.454761612252838
Andhra Pradesh,2019,4,vizianagaram district,443810,17515311,13.003151821899149
Andhra Pradesh,2019,4,ysr district,646642,21543798,13.379548097313991
Andhra Pradesh,2019,4,west godavari district,750078,19393528,13.527932480104868
Andhra Pradesh,2019,4,chittoor district,1156351,44888591,13.960779915345217
Andhra Pradesh,2020,1,east godavari district,1329664,46142746,14.100436836702256
Andhra Pradesh,2020,1,srikakulam district,552007,20975989,13.221316006338247
Andhra Pradesh,2020,1,visakhapatnam district,1763581,77558624,14.382856958989878
Andhra Pradesh,2020,1,prakasam district,748655,26870693,13.526033542231868
Andhra Pradesh,2020,1,anantapur district,971850,36900103,13.786956750546214
Andhra Pradesh,2020,1,kurnool district,936293,34198350,13.749683740662784
Andhra Pradesh,2020,1,guntur district,1289678,45282758,14.069903132776393
Andhra Pradesh,2020,1,krishna district,1331602,46079408,14.101893286634418
Andhra Pradesh,2020,1,spsr nellore district,775440,28879364,13.56118588916649
Andhra Pradesh,2020,1,vizianagaram district,490683,21562104,13.103553577092292
Andhra Pradesh,2020,1,ysr district,717865,26166193,13.484036808067833
Andhra Pradesh,2020,1,west godavari district,843835,24542868,13.64571225683561
Andhra Pradesh,2020,1,chittoor district,1270907,51354573,14.055241376762774
Andhra Pradesh,2020,2,east godavari district,1459116,45884498,14.193341330855757
Andhra Pradesh,2020,2,srikakulam district,608002,23808009,13.317933450416579
Andhra Pradesh,2020,2,visakhapatnam district,1904719,69684456,14.459845049101096
Andhra Pradesh,2020,2,prakasam district,830709,32255276,13.63003483200466
Andhra Pradesh,2020,2,anantapur district,1076953,39704703,13.889646315446265
Andhra Pradesh,2020,2,kurnool district,1035093,36268390,13.850001835717345
Andhra Pradesh,2020,2,guntur district,1426271,44267596,14.170573903976408
Andhra Pradesh,2020,2,krishna district,1459041,41234166,14.193289928549426
Andhra Pradesh,2020,2,spsr nellore district,854459,30816403,13.658223799111045
Andhra Pradesh,2020,2,vizianagaram district,537798,24370380,13.195238303955394
Andhra Pradesh,2020,2,ysr district,796769,29644037,13.588320078873192
Andhra Pradesh,2020,2,west godavari district,944829,26583613,13.75875923772107
Andhra Pradesh,2020,2,chittoor district,1385916,49820171,14.141871850834757
Andhra Pradesh,2020,3,east godavari district,1601940,64292857,14.286725952725533
Andhra Pradesh,2020,3,srikakulam district,667858,31794753,13.411830855071248
Andhra Pradesh,2020,3,visakhapatnam district,2058346,102589371,14.537413305637424
Andhra Pradesh,2020,3,prakasam district,915240,44970519,13.726941604946285
Andhra Pradesh,2020,3,anantapur district,1186851,55714787,13.9868141391752
Andhra Pradesh,2020,3,kurnool district,1132240,49164718,13.93970852940772
Andhra Pradesh,2020,3,guntur district,1567595,62427501,14.265053155713346
Andhra Pradesh,2020,3,krishna district,1599289,61028114,14.285069713446179
Andhra Pradesh,2020,3,spsr nellore district,937176,43951448,13.75062637709326
Andhra Pradesh,2020,3,vizianagaram district,587784,31199437,13.284114812453574
Andhra Pradesh,2020,3,ysr district,877909,41578067,13.68529822259885
Andhra Pradesh,2020,3,west godavari district,1053674,38126238,13.867793662328266
