State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Pincode_log,Transaction_count_log,Transaction_amount_log
Andaman & Nicobar,2018,1,744101.0,1622,2769297.9039997994,13.51993205728984,7.3914152346753585,14.834104381776026
Andaman & Nicobar,2018,1,744103.0,1223,2238041.8716124697,13.519934745093392,7.109062135687172,14.62111187706794
Andaman & Nicobar,2018,1,744102.0,969,3519059.937562449,13.51993340119252,6.876264611890766,15.07370444871407
Andaman & Nicobar,2018,1,744105.0,685,1298560.9515503529,13.519937432889723,6.529418838262226,14.07676724895276
Andaman & Nicobar,2018,1,744104.0,340,1039715.311145054,13.519936088992461,5.8289456176102075,13.854457494360517
Andaman & Nicobar,2018,1,744107.0,302,556059.5308556345,13.519940120678827,5.71042701737487,13.228630637385383
Andaman & Nicobar,2018,1,744301.0,283,445739.1633851439,13.520200801891368,5.645446897643238,13.007489224459919
Andaman & Nicobar,2018,1,744112.0,269,333709.56700413954,13.519946840119985,5.594711379601839,12.718026333804499
Andaman & Nicobar,2018,1,744202.0,193,238914.01667155625,13.520067782340659,5.262690188904886,12.38385900330294
Andaman & Nicobar,2018,1,744302.0,168,547469.6509380838,13.52020214543293,5.123963979403259,13.21306230705982
Andaman & Nicobar,2018,2,744101.0,2701,6310089.917084678,13.51993205728984,7.901377353792616,15.657660484350046
Andaman & Nicobar,2018,2,744103.0,1965,4752146.698501162,13.519934745093392,7.583247524303362,15.374107010444831
Andaman & Nicobar,2018,2,744102.0,1525,5810267.574788321,13.51993340119252,7.329749689041512,15.575137181948067
Andaman & Nicobar,2018,2,744105.0,997,2200332.971862734,13.519937432889723,6.904750769961838,14.604119257722857
Andaman & Nicobar,2018,2,744301.0,767,1953749.3787199224,13.520200801891368,6.642486801367256,14.48526084272413
Andaman & Nicobar,2018,2,744104.0,659,1650346.1906506256,13.519936088992461,6.490723534502507,14.316495636384726
Andaman & Nicobar,2018,2,744107.0,594,1601569.982144104,13.519940120678827,6.386879319362645,14.286494944949935
Andaman & Nicobar,2018,2,744112.0,432,578829.1795229593,13.519946840119985,6.068425588244111,13.268762686295544
Andaman & Nicobar,2018,2,744202.0,405,626523.9803147907,13.520067782340659,6.003887067106539,13.347942329225457
Andaman & Nicobar,2018,2,744302.0,291,1026590.0735863491,13.52020214543293,5.673323267171493,13.841753259848996
Andaman & Nicobar,2018,3,744101.0,3462,10833893.444488766,13.51993205728984,8.149601735736155,16.198190059863517
Andaman & Nicobar,2018,3,744103.0,3182,10184154.358592125,13.519934745093392,8.065265208897733,16.13634357607546
Andaman & Nicobar,2018,3,744102.0,2224,10365275.479700703,13.51993340119252,7.707062655370473,16.15397188137637
Andaman & Nicobar,2018,3,744105.0,1613,5152534.080403434,13.519937432889723,7.385851078125209,15.454999206068095
Andaman & Nicobar,2018,3,744104.0,1029,2588077.6866583927,13.519936088992461,6.9363427358340495,14.766425952181141
Andaman & Nicobar,2018,3,744301.0,975,4256576.349618757,13.520200801891368,6.882437470997847,15.263975721328219
Andaman & Nicobar,2018,3,744112.0,579,1145815.7801705198,13.519946840119985,6.361302477572996,13.951627413047605
Andaman & Nicobar,2018,3,744107.0,547,1492405.302862124,13.519940120678827,6.304448802421981,14.215899673567348
Andaman & Nicobar,2018,3,744302.0,417,1976781.919949036,13.52020214543293,6.0330862217988015,14.496980787494232
Andaman & Nicobar,2018,3,744202.0,341,2099404.078986112,13.520067782340659,5.831882477283517,14.557164090511408
Andaman & Nicobar,2018,4,744101.0,4674,16392855.280625315,13.51993205728984,8.449770515098804,16.61235614424941
Andaman & Nicobar,2018,4,744103.0,4576,17022520.257624768,13.519934745093392,8.428580533059634,16.65004774638847
Andaman & Nicobar,2018,4,744102.0,3306,17019977.183053624,13.51993340119252,8.10349427838097,16.649898340512458
Andaman & Nicobar,2018,4,744105.0,2513,9935282.83215146,13.519937432889723,7.829232537543592,16.11160290182167
Andaman & Nicobar,2018,4,744104.0,1432,6091757.917089159,13.519936088992461,7.266827347520591,15.622447254369334
Andaman & Nicobar,2018,4,744211.0,1225,3451359.606027063,13.52007987575828,7.110696122978827,15.054278800078482
Andaman & Nicobar,2018,4,744301.0,928,4606293.657525641,13.520200801891368,6.833031732786201,15.342934112763746
Andaman & Nicobar,2018,4,744112.0,759,2208675.0435713646,13.519946840119985,6.63200177739563,14.607903365909522
Andaman & Nicobar,2018,4,744107.0,747,1825659.512897896,13.519940120678827,6.616065185132817,14.417451856648167
Andaman & Nicobar,2018,4,744202.0,702,3797054.167763442,13.520067782340659,6.553933404025811,15.149736105049353
Andaman & Nicobar,2019,1,744103.0,5742,19401964.77965755,13.519934745093392,8.655562860681009,16.780884896207294
Andaman & Nicobar,2019,1,744101.0,5156,15501306.22719592,13.51993205728984,8.547916364059079,16.556434851061045
Andaman & Nicobar,2019,1,744102.0,3925,16683547.094795756,13.51993340119252,8.275121630216509,16.62993358785018
Andaman & Nicobar,2019,1,744105.0,3553,11588669.48032856,13.519937432889723,8.175547596021026,16.265538409789755
Andaman & Nicobar,2019,1,744104.0,2833,9141657.219605075,13.519936088992461,7.949091499830517,16.028352242050005
Andaman & Nicobar,2019,1,744211.0,1511,5794838.401831552,13.52007987575828,7.32052696227274,15.572478148574517
Andaman & Nicobar,2019,1,744202.0,1112,3613381.294736007,13.520067782340659,7.013915474810528,15.100154538670498
Andaman & Nicobar,2019,1,744107.0,1029,3592930.297577925,13.519940120678827,6.9363427358340495,15.094478666402313
Andaman & Nicobar,2019,1,744301.0,920,4652963.41114777,13.520200801891368,6.824373670043086,15.35301486729872
Andaman & Nicobar,2019,1,744112.0,802,1893718.65378222,13.519946840119985,6.687108607866515,14.45405299564459
Andaman & Nicobar,2019,2,744104.0,6142,15625676.560883244,13.519936088992461,8.722905701000768,16.564426052545855
Andaman & Nicobar,2019,2,744103.0,5847,23751450.067206983,13.519934745093392,8.67368398817567,16.983154142042462
Andaman & Nicobar,2019,2,744101.0,4863,19061125.41121897,13.51993205728984,8.489410810403786,16.763161500156485
Andaman & Nicobar,2019,2,744102.0,4120,18948733.987097777,13.51993340119252,8.323608442343572,16.757247679192233
Andaman & Nicobar,2019,2,744105.0,3500,13418692.199162653,13.519937432889723,8.160518247477505,16.412159233131867
Andaman & Nicobar,2019,2,744202.0,1153,3619993.3910789257,13.520067782340659,7.050122520269059,15.101982758131482
Andaman & Nicobar,2019,2,744107.0,1124,2967445.3902032813,13.519940120678827,7.024649030453636,14.90321200266926
Andaman & Nicobar,2019,2,744211.0,1047,3168331.99173521,13.52007987575828,6.953684210870537,14.968715821796765
Andaman & Nicobar,2019,2,744301.0,1007,4849284.51925976,13.520200801891368,6.914730892718563,15.394341730229144
Andaman & Nicobar,2019,2,744112.0,763,2928099.608406143,13.519946840119985,6.637258031284457,14.88986417274909
Andaman & Nicobar,2019,3,744103.0,5680,19906337.014255583,13.519934745093392,8.644706511715198,16.80654868192995
Andaman & Nicobar,2019,3,744101.0,5606,18745152.093515635,13.51993205728984,8.631592731724734,16.746445721937086
Andaman & Nicobar,2019,3,744104.0,4786,15754793.354826454,13.519936088992461,8.47345026846832,16.572655216922875
Andaman & Nicobar,2019,3,744102.0,3643,14572605.602745283,13.51993340119252,8.200562797008564,16.494653995589964
Andaman & Nicobar,2019,3,744105.0,3512,11767223.99688773,13.519937432889723,8.163940954755008,16.280828597288316
Andaman & Nicobar,2019,3,744202.0,1417,3875602.0982028735,13.520067782340659,7.256297239690681,15.17021158888072
Andaman & Nicobar,2019,3,744301.0,1402,6195496.621729916,13.520200801891368,7.2456550675945355,15.639333234760498
Andaman & Nicobar,2019,3,744211.0,1118,2983697.449378184,13.52007987575828,7.0192966537150445,14.908673844206325
Andaman & Nicobar,2019,3,744107.0,914,1988299.759710987,13.519940120678827,6.81783057145415,14.502790439394678
Andaman & Nicobar,2019,3,744112.0,833,2198831.69194062,13.519946840119985,6.725033642166843,14.60343672815412
Andaman & Nicobar,2019,4,744104.0,6633,20626642.70150852,13.519936088992461,8.799812469525556,16.84209413314718
Andaman & Nicobar,2019,4,744101.0,5282,23247752.473849066,13.51993205728984,8.572060092857077,16.961719017533568
Andaman & Nicobar,2019,4,744103.0,4840,19792507.955761045,13.519934745093392,8.484669999710677,16.800814037986015
Andaman & Nicobar,2019,4,744105.0,3528,15302141.17488026,13.519937432889723,8.168486417126681,16.54350332264173
Andaman & Nicobar,2019,4,744102.0,3237,15350444.97320769,13.51993340119252,8.082402253926244,16.54665502005991
Andaman & Nicobar,2019,4,744202.0,1783,5800016.5561128855,13.520067782340659,7.48605261786314,15.573371330014796
Andaman & Nicobar,2019,4,744211.0,1596,7908264.721918669,13.52007987575828,7.3752557780097545,15.88341893791705
Andaman & Nicobar,2019,4,744301.0,1549,7056478.928838715,13.520200801891368,7.3453648404168685,15.769456749767645
Andaman & Nicobar,2019,4,744201.0,886,946768.0636478986,13.520066438618562,6.786716950605081,13.760809425220684
Andaman & Nicobar,2019,4,744107.0,777,3030368.911900454,13.519940120678827,6.655440350367647,14.924194923176705
Andaman & Nicobar,2020,1,744101.0,11793,58229349.02415232,13.51993205728984,9.37526141408997,17.87990006436136
Andaman & Nicobar,2020,1,744103.0,5870,22009443.07305397,13.519934745093392,8.677609912822142,16.906982149822852
Andaman & Nicobar,2020,1,744105.0,4635,16774043.311987936,13.519937432889723,8.441391477999955,16.635343208613772
Andaman & Nicobar,2020,1,744102.0,3820,14517706.12269676,13.51993340119252,8.24800570160062,16.49087957435016
Andaman & Nicobar,2020,1,744211.0,1837,8425387.79004211,13.52007987575828,7.515889085215125,15.946760061635066
Andaman & Nicobar,2020,1,744301.0,1819,6901162.107519586,13.520200801891368,7.506042178518122,15.74720037676585
Andaman & Nicobar,2020,1,744202.0,1794,5037742.395579022,13.520067782340659,7.492203042618741,15.432468602308518
Andaman & Nicobar,2020,1,744104.0,1302,5293130.290633954,13.519936088992461,7.171656822768514,15.481920366186882
Andaman & Nicobar,2020,1,744201.0,1157,1242638.821252932,13.520066438618562,7.053585727193677,14.032747758078429
Andaman & Nicobar,2020,1,744107.0,1043,2990354.4448547475,13.519940120678827,6.949856455000773,14.910902481770833
Andaman & Nicobar,2020,2,744101.0,11868,48293323.21851964,13.51993205728984,9.381600981410713,17.69280387342596
Andaman & Nicobar,2020,2,744103.0,10035,26197535.98945152,13.519934745093392,9.213834261230438,17.081175918104563
Andaman & Nicobar,2020,2,744105.0,9341,23203019.858980607,13.519937432889723,9.14216859187285,16.959792994501008
Andaman & Nicobar,2020,2,744102.0,6012,17786750.907515876,13.51993340119252,8.701512750872865,16.693964407071995
Andaman & Nicobar,2020,2,744202.0,3722,8924121.010762567,13.520067782340659,8.222016437202196,16.004268394590827
Andaman & Nicobar,2020,2,744107.0,2555,3980470.685369815,13.519940120678827,7.845807502637805,15.196910632923876
Andaman & Nicobar,2020,2,744301.0,2275,9055232.527755566,13.520200801891368,7.729735331385051,16.018853328457023
Andaman & Nicobar,2020,2,744211.0,2045,3319717.6328789736,13.52007987575828,7.623153068476902,15.015390286938027
Andaman & Nicobar,2020,2,744205.0,1847,4459064.90732021,13.520071813496115,7.52131798019924,15.310449639978263
Andaman & Nicobar,2020,2,744104.0,1840,3334591.822304932,13.519936088992461,7.517520850603031,15.01986083772887
Andaman & Nicobar,2020,3,744101.0,24386,100439119.66860785,13.51993205728984,10.10176447612021,18.42506232746622
Andaman & Nicobar,2020,3,744103.0,21272,60332278.69396809,13.519934745093392,9.965146932922856,17.915377820198735
Andaman & Nicobar,2020,3,744105.0,17166,44061506.56273589,13.519937432889723,9.750685962278165,17.601097092188656
Andaman & Nicobar,2020,3,744102.0,13934,43077189.842844136,13.51993340119252,9.542087175590064,17.578504176993068
Andaman & Nicobar,2020,3,744202.0,5779,11975748.707876924,13.520067782340659,8.661985936317778,16.298394221885246
Andaman & Nicobar,2020,3,744107.0,4753,7628018.669464628,13.519940120678827,8.46653127661401,15.847338693190881
Andaman & Nicobar,2020,3,744104.0,3468,7353834.51320935,13.519936088992461,8.151333337900432,15.810732437627058
