State,Year,Quarter,Pincode,RegisteredUsers,Pincode_log,RegisteredUsers_log
Andaman & Nicobar,2018,1,744103,1608,13.519934745093392,7.382746449738912
Andaman & Nicobar,2018,1,744101,1108,13.51993205728984,7.010311867307229
Andaman & Nicobar,2018,1,744105,1075,13.519937432889723,6.980075940561763
Andaman & Nicobar,2018,1,744102,1006,13.51993340119252,6.913737350659685
Andaman & Nicobar,2018,1,744104,272,13.519936088992461,5.605802066295998
Andaman & Nicobar,2018,1,744202,237,13.520067782340659,5.4680601411351315
Andaman & Nicobar,2018,1,744112,215,13.519946840119985,5.3706380281276624
Andaman & Nicobar,2018,1,744301,207,13.520200801891368,5.332718793265369
Andaman & Nicobar,2018,1,744107,196,13.519940120678827,5.278114659230517
Andaman & Nicobar,2018,1,744211,156,13.52007987575828,5.049856007249537
Andaman & Nicobar,2018,2,744103,2188,13.519934745093392,7.690743163541872
Andaman & Nicobar,2018,2,744101,1521,13.51993205728984,7.327123292259293
Andaman & Nicobar,2018,2,744105,1492,13.519937432889723,7.307872780763706
Andaman & Nicobar,2018,2,744102,1419,13.51993340119252,7.257707677160043
Andaman & Nicobar,2018,2,744104,396,13.519936088992461,5.981414211254481
Andaman & Nicobar,2018,2,744202,343,13.520067782340659,5.8377304471659395
Andaman & Nicobar,2018,2,744112,299,13.519946840119985,5.700443573390687
Andaman & Nicobar,2018,2,744107,293,13.519940120678827,5.680172609017068
Andaman & Nicobar,2018,2,744301,273,13.520200801891368,5.60947179518496
Andaman & Nicobar,2018,2,744211,240,13.52007987575828,5.480638923341991
Andaman & Nicobar,2018,3,744103,2741,13.519934745093392,7.916078096302786
Andaman & Nicobar,2018,3,744101,1978,13.51993205728984,7.589841512182657
Andaman & Nicobar,2018,3,744105,1935,13.519937432889723,7.5678626054638825
Andaman & Nicobar,2018,3,744102,1803,13.51993340119252,7.497207223203318
Andaman & Nicobar,2018,3,744104,507,13.519936088992461,6.2285110035911835
Andaman & Nicobar,2018,3,744202,446,13.520067782340659,6.100318952020064
Andaman & Nicobar,2018,3,744112,388,13.519946840119985,5.961005339623274
Andaman & Nicobar,2018,3,744107,384,13.519940120678827,5.950642552587727
Andaman & Nicobar,2018,3,744301,372,13.520200801891368,5.918893854273146
Andaman & Nicobar,2018,3,744211,327,13.52007987575828,5.7899601708972535
Andaman & Nicobar,2018,4,744103,3373,13.519934745093392,8.12355783506165
Andaman & Nicobar,2018,4,744101,2498,13.51993205728984,7.823245690685523
Andaman & Nicobar,2018,4,744105,2416,13.519937432889723,7.789868559054706
Andaman & Nicobar,2018,4,744102,2231,13.51993340119252,7.7102051944325325
Andaman & Nicobar,2018,4,744104,634,13.519936088992461,6.452048954437226
Andaman & Nicobar,2018,4,744202,554,13.520067782340659,6.317164686747284
Andaman & Nicobar,2018,4,744107,548,13.519940120678827,6.306275286948016
Andaman & Nicobar,2018,4,744112,496,13.519946840119985,6.206575926724928
Andaman & Nicobar,2018,4,744211,433,13.52007987575828,6.07073772800249
Andaman & Nicobar,2018,4,744301,425,13.520200801891368,6.052089168924417
Andaman & Nicobar,2019,1,744103,4136,13.519934745093392,8.327484416188264
Andaman & Nicobar,2019,1,744101,3030,13.51993205728984,8.016317898503415
Andaman & Nicobar,2019,1,744105,2994,13.519937432889723,8.004365564979574
Andaman & Nicobar,2019,1,744102,2667,13.51993340119252,7.888709524182015
Andaman & Nicobar,2019,1,744104,756,13.519936088992461,6.628041376179533
Andaman & Nicobar,2019,1,744202,753,13.520067782340659,6.6240652277998935
Andaman & Nicobar,2019,1,744107,667,13.519940120678827,6.502790045915623
Andaman & Nicobar,2019,1,744112,585,13.519946840119985,6.371611847231857
Andaman & Nicobar,2019,1,744211,524,13.52007987575828,6.261491684321042
Andaman & Nicobar,2019,1,744301,488,13.520200801891368,6.1903154058531475
Andaman & Nicobar,2019,2,744103,4748,13.519934745093392,8.465478755729558
Andaman & Nicobar,2019,2,744101,3631,13.51993205728984,8.197263371414335
Andaman & Nicobar,2019,2,744105,3547,13.519937432889723,8.173857454773621
Andaman & Nicobar,2019,2,744102,3008,13.51993340119252,8.00903068506973
Andaman & Nicobar,2019,2,744202,885,13.520067782340659,6.785587645007929
Andaman & Nicobar,2019,2,744104,878,13.519936088992461,6.777646593635117
Andaman & Nicobar,2019,2,744107,787,13.519940120678827,6.668228248417403
Andaman & Nicobar,2019,2,744112,672,13.519946840119985,6.51025834052315
Andaman & Nicobar,2019,2,744211,633,13.52007987575828,6.450470422144176
Andaman & Nicobar,2019,2,744301,534,13.520200801891368,6.280395838960195
Andaman & Nicobar,2019,3,744103,5218,13.519934745093392,8.559869465696673
Andaman & Nicobar,2019,3,744101,4026,13.51993205728984,8.300528606199737
Andaman & Nicobar,2019,3,744105,3920,13.519937432889723,8.273846932784508
Andaman & Nicobar,2019,3,744102,3250,13.51993340119252,8.086410275323782
Andaman & Nicobar,2019,3,744202,982,13.520067782340659,6.889591308354466
Andaman & Nicobar,2019,3,744104,975,13.519936088992461,6.882437470997847
Andaman & Nicobar,2019,3,744107,885,13.519940120678827,6.785587645007929
Andaman & Nicobar,2019,3,744112,765,13.519946840119985,6.639875833826536
Andaman & Nicobar,2019,3,744211,701,13.52007987575828,6.55250788703459
Andaman & Nicobar,2019,3,744301,575,13.520200801891368,6.354370040797351
Andaman & Nicobar,2019,4,744103,5637,13.519934745093392,8.637107288081575
Andaman & Nicobar,2019,4,744101,4321,13.51993205728984,8.371242135931933
Andaman & Nicobar,2019,4,744105,4277,13.519937432889723,8.361007108226909
Andaman & Nicobar,2019,4,744102,3485,13.51993340119252,8.156223323194624
Andaman & Nicobar,2019,4,744202,1087,13.520067782340659,6.99117688712121
Andaman & Nicobar,2019,4,744104,1062,13.519936088992461,6.967909201801884
Andaman & Nicobar,2019,4,744107,953,13.519940120678827,6.859614903654202
Andaman & Nicobar,2019,4,744112,812,13.519946840119985,6.699500340161678
Andaman & Nicobar,2019,4,744211,783,13.52007987575828,6.663132695990803
Andaman & Nicobar,2019,4,744301,611,13.520200801891368,6.415096959171596
Andaman & Nicobar,2020,1,744103,6108,13.519934745093392,8.717354666338522
Andaman & Nicobar,2020,1,744101,4689,13.51993205728984,8.452974619089586
Andaman & Nicobar,2020,1,744105,4684,13.519937432889723,8.451907724717607
Andaman & Nicobar,2020,1,744102,3727,13.51993340119252,8.223358899479258
Andaman & Nicobar,2020,1,744202,1216,13.520067782340659,7.103322062526113
Andaman & Nicobar,2020,1,744104,1154,13.519936088992461,7.050989447068045
Andaman & Nicobar,2020,1,744107,1062,13.519940120678827,6.967909201801884
Andaman & Nicobar,2020,1,744112,889,13.519946840119985,6.790097235513905
Andaman & Nicobar,2020,1,744211,886,13.52007987575828,6.786716950605081
Andaman & Nicobar,2020,1,744301,669,13.520200801891368,6.505784060128229
Andaman & Nicobar,2020,2,744103,6804,13.519934745093392,8.825265953515752
Andaman & Nicobar,2020,2,744105,5479,13.519937432889723,8.608677881538416
Andaman & Nicobar,2020,2,744101,5365,13.51993205728984,8.587651655064798
Andaman & Nicobar,2020,2,744102,4066,13.51993340119252,8.310414994188292
Andaman & Nicobar,2020,2,744202,1475,13.520067782340659,7.29641326877392
Andaman & Nicobar,2020,2,744104,1333,13.519936088992461,7.195187320178709
Andaman & Nicobar,2020,2,744107,1252,13.519940120678827,7.132497551660044
Andaman & Nicobar,2020,2,744112,1039,13.519946840119985,6.946013991099227
Andaman & Nicobar,2020,2,744211,1036,13.52007987575828,6.943122422819428
Andaman & Nicobar,2020,2,744205,806,13.520071813496115,6.692083742506628
Andaman & Nicobar,2020,3,744103,8318,13.519934745093392,9.026177120302856
Andaman & Nicobar,2020,3,744105,7007,13.519937432889723,8.854664928370534
